@relation proteina_completatreinamento-weka.filters.unsupervised.attribute.Normalize-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N10-F1

@attribute A numeric
@attribute B numeric
@attribute C numeric
@attribute D numeric
@attribute E numeric
@attribute F numeric
@attribute G numeric
@attribute H numeric
@attribute I numeric
@attribute J numeric
@attribute L numeric
@attribute M numeric
@attribute N numeric
@attribute O numeric
@attribute P numeric
@attribute Q numeric
@attribute R numeric
@attribute S numeric
@attribute T numeric
@attribute U numeric
@attribute V numeric
@attribute X numeric
@attribute Z numeric
@attribute A1 numeric
@attribute B1 numeric
@attribute C1 numeric
@attribute D1 numeric
@attribute E1 numeric
@attribute F1 numeric
@attribute G1 numeric
@attribute H1 numeric
@attribute I1 numeric
@attribute J1 numeric
@attribute L1 numeric
@attribute M1 numeric
@attribute N1 numeric
@attribute O1 numeric
@attribute P1 numeric
@attribute Q1 numeric
@attribute R1 numeric
@attribute S1 numeric
@attribute T1 numeric
@attribute U1 numeric
@attribute V1 numeric
@attribute X1 numeric
@attribute Z1 numeric
@attribute A2 numeric
@attribute B2 numeric
@attribute C2 numeric
@attribute D2 numeric
@attribute E2 numeric
@attribute F2 numeric
@attribute G2 numeric
@attribute H2 numeric
@attribute I2 numeric
@attribute J2 numeric
@attribute L2 numeric
@attribute M2 numeric
@attribute N2 numeric
@attribute O2 numeric
@attribute P2 numeric
@attribute Q2 numeric
@attribute R2 numeric
@attribute S2 numeric
@attribute T2 numeric
@attribute U2 numeric
@attribute V2 numeric
@attribute X2 numeric
@attribute Z2 numeric
@attribute A3 numeric
@attribute B3 numeric
@attribute C3 numeric
@attribute D3 numeric
@attribute E3 numeric
@attribute F3 numeric
@attribute G3 numeric
@attribute H3 numeric
@attribute I3 numeric
@attribute J3 numeric
@attribute L3 numeric
@attribute M3 numeric
@attribute N3 numeric
@attribute O3 numeric
@attribute P3 numeric
@attribute Q3 numeric
@attribute R3 numeric
@attribute S3 numeric
@attribute T3 numeric
@attribute U3 numeric
@attribute V3 numeric
@attribute X3 numeric
@attribute Z3 numeric
@attribute A4 numeric
@attribute B4 numeric
@attribute C4 numeric
@attribute D4 numeric
@attribute E4 numeric
@attribute F4 numeric
@attribute G4 numeric
@attribute H4 numeric
@attribute I4 numeric
@attribute J4 numeric
@attribute L4 numeric
@attribute M4 numeric
@attribute N4 numeric
@attribute O4 numeric
@attribute P4 numeric
@attribute Q4 numeric
@attribute R4 numeric
@attribute S4 numeric
@attribute T4 numeric
@attribute U4 numeric
@attribute V4 numeric
@attribute X4 numeric
@attribute Z4 numeric
@attribute A5 numeric
@attribute B5 numeric
@attribute C5 numeric
@attribute D5 numeric
@attribute E5 numeric
@attribute F5 numeric
@attribute G5 numeric
@attribute H5 numeric
@attribute I5 numeric
@attribute J5 numeric
@attribute L5 numeric
@attribute class {1,2,3,4,5}

@data
0.390947,0.106383,0.344828,0.505319,0.201923,0.346154,0.026616,0.408377,0.28934,0.354067,0.590361,0.321678,0.181818,0.182482,0.248649,0.209581,0.183099,0.556962,0,0.288288,0.377811,0.5,0.367816,0.496599,0.441781,0.370968,0.416185,0.03937,0.590778,0.673797,0.841797,0.916168,0.006211,0.388471,0.395089,0.458034,1,0.022727,0.634146,0.683333,0.74124,0.973856,0.514599,0.448498,0.480114,0.441261,0.355828,0.504478,0.026042,0.68125,0.625,0.677852,0.973856,0.006211,0.388471,0.284314,0.338182,1,0.03937,0.582133,0.825328,0.841797,0.916168,0.461707,0.471053,0.416446,0.461756,0.449324,0.391667,0.006349,0.385151,0.391775,0.510163,1,0.05098,0.57947,0.6122,0.74505,0.976879,0.010309,0.37428,0.717489,0.792706,0.92967,0.42623,0.340643,0.300937,0.4,0.428571,0.391705,0.066528,0.246362,0.581781,0.851699,0.954,0.015086,0.28556,0.464968,0.687238,0.972,0.028846,0.360489,0.478405,0.441296,1,0.368821,0.765403,0.416446,0.48072,0.293501,0.510511,0.009524,0.450549,0.472772,0.408163,1,0.042623,0.467836,0.570361,0.741935,0.982979,0.010309,0.37428,0.717489,0.792706,0.92967,3
0.37037,0,0.344828,0.319149,0.480769,0.27972,0.076046,0.418848,0.35533,0.239234,0.481928,0.41958,0.12987,0.291971,0.162162,0.11976,0.422535,0.316456,0.333333,0.630631,0.103448,0.476316,0.491954,0.340136,0.277397,0.623656,0.364162,0.074803,0.443804,0.367201,0.767578,0.760479,0.149068,0.571429,0.709821,0.683453,1,0.036364,0.405488,0.575,0.625337,0.803922,0.489051,0.454936,0.491477,0.584527,0.690184,0.39403,0.041667,0.390625,0.582237,0.600671,1,0.149068,0.571429,0.623529,0.509091,0.96124,0.074803,0.443804,0.449782,0.669922,0.760479,0.485777,0.202632,0.649867,0.354108,0.72973,0.397222,0.152381,0.482599,0.601732,0.693089,0.976019,0.388235,0.536424,0.555556,0.693069,0.884393,0.016495,0.293666,0.571001,0.650672,1,0.386417,0.131579,0.508197,0,0.458647,0.184332,0.10395,0.176715,0.63147,0.854789,0.92,0.420259,0.431034,0.7431,0.753138,0.75,0.086538,0.415479,0.451827,0.473684,1,0.326996,0.609005,0.649867,0.390746,0.387841,0.606607,0.228571,0.611722,0.762376,0.766764,0.945946,0.095082,0.430799,0.49066,0.670968,0.87234,0.016495,0.293666,0.571001,0.650672,1,3
0.197531,0.06383,0.41954,0.531915,0.576923,0.167832,0.102662,0.413613,0.416244,0.406699,0.253012,0.461538,0.214286,0.153285,0.227027,0.269461,0.112676,0.28481,0.4,0.540541,0.449775,0.644737,0.255172,0.472789,0.424658,0.537634,0.384393,0.043307,0.691643,0.581105,0.789062,1,0.012422,0.418546,0.602679,0.527578,0.986486,0.004545,0.582317,0.533333,0.703504,0.960784,0.59854,0.238197,0.693182,0.309456,0.736196,0.316418,0.005208,0.571875,0.503289,0.630872,0.960784,0.012422,0.33584,0.488235,0.38,0.988372,0.043307,0.622478,0.71179,0.783203,1,0.26477,0.428947,0.69496,0.186969,0.398649,0.644444,0.012698,0.317865,0.5,0.54878,0.992806,0.007843,0.529801,0.594771,0.658416,0.965318,0.014433,0.489443,0.738416,0.733205,1,0.446136,0.176901,0.412178,0.257143,0.481203,0.179724,0.097713,0.37422,0.490683,0.799176,0.991,0.042026,0.146552,0.276008,0.591004,0.949,0.019231,0.254582,0.614618,0.540486,1,0.188213,0.741706,0.69496,0.290488,0.278826,0.756757,0.019048,0.322344,0.571782,0.44898,0.983784,0.006557,0.444444,0.513076,0.690323,0.974468,0.014433,0.489443,0.738416,0.733205,1,3
0.489712,0,0.247126,0.37766,0.153846,0.496503,0.030418,0.246073,0.162437,0.339713,0.385542,0.223776,0.181818,0.145985,0.297297,0.353293,0.370892,0.677215,0.2,0.252252,0.332834,0.3,0.657471,0.323129,0.366438,0.306452,0.514451,0.011811,0.45245,0.365419,0.654297,1,0.043478,0.52381,0.747768,0.800959,0.981982,0.045455,0.670732,0.536111,0.560647,0.947712,0.313869,0.727468,0.267045,0.604585,0.245399,0.456716,0.052083,0.6625,0.476974,0.543624,0.947712,0.043478,0.52381,0.64902,0.598182,0.984496,0.011811,0.45245,0.447598,0.654297,1,0.71116,0.328947,0.33687,0.563739,0.398649,0.283333,0.019048,0.394432,0.640693,0.735772,0.990408,0.011765,0.433775,0.444444,0.730198,1,0.045361,0.514395,0.636771,0.694818,0.982418,0.514052,0.207602,0.319672,0,0.473684,0.258065,0.069647,0.27131,0.47412,0.663234,0.992,0.030172,0.144397,0.356688,0.728033,0.937,0.028846,0.513238,0.666113,0.736842,1,0.536122,0.627962,0.33687,0.501285,0.264151,0.393393,0.028571,0.413919,0.792079,0.717201,0.978378,0.009836,0.421053,0.429639,0.606452,1,0.045361,0.514395,0.636771,0.694818,0.982418,3
0.514403,0,0.54023,0.329787,0.298077,0.381119,0,0.324607,0.314721,0.296651,0.192771,0.216783,0.103896,0.343066,0.167568,0.281437,0.29108,0.594937,0.516667,0.144144,0.049475,0.497368,0.457471,0.363946,0.613014,0.389785,0.653179,0.181102,0.783862,0.600713,0.707031,0.904192,0.043478,0.428571,0.584821,0.844125,1,0.272727,0.493902,0.369444,0.539084,0.797386,0.313869,0.581545,0.457386,0.696275,0.368098,0.620896,0.3125,0.578125,0.345395,0.580537,0.797386,0.043478,0.350877,0.392157,0.374545,1,0.181102,0.783862,0.735808,0.707031,0.904192,0.700219,0.286842,0.352785,0.685552,0.733108,0.272222,0.044444,0.324826,0.5671,0.670732,1,0.239216,0.539735,0.407407,0.20297,0.907514,0.189691,0.447217,0.692078,0.746641,0.931868,0.95082,0,0.04918,0,0.954887,0,0.032225,0.227651,0.453416,0.755922,0.984,0,0,0,0,0,0.144231,1,0.707641,0.740891,1,0.503802,0.654028,0.352785,0.817481,0.354298,0.525526,0.066667,0.289377,0.49505,0.451895,1,0.2,0.491228,0.476961,0.66129,0.931915,0.189691,0.447217,0.692078,0.746641,0.931868,3
0.255144,0.034043,0.402299,0.393617,0.201923,0.216783,0.095057,0.497382,0.208122,0.315789,0.301205,0.202797,0.214286,0.357664,0.356757,0.371257,0.366197,0.468354,0.55,0.261261,0.317841,0.5,0.4,0.445578,0.592466,0.36828,0.378613,0.011811,0.608069,0.520499,0.765625,1,0.018634,0.47619,0.569196,0.690647,0.981982,0.045455,0.579268,0.705556,0.760108,0.947712,0.452555,0.446352,0.53125,0.340974,0.361963,0.58806,0.03125,0.56875,0.625,0.604027,0.947712,0.059006,0.486216,0.5,0.536364,0.984496,0.011811,0.585014,0.637555,0.742188,1,0.47046,0.342105,0.488064,0.351275,0.405405,0.55,0.060317,0.459397,0.580087,0.707317,0.990408,0.058824,0.400662,0.535948,0.727723,1,0.004124,0.464491,0.715994,0.681382,0.982418,0.371194,0.192982,0.474239,0.114286,0.526316,0.285714,0.111227,0.265073,0.477226,0.809475,0.988,0.017241,0.079741,0.367304,0.6841,0.938,0.028846,0.372709,0.574751,0.589069,1,0.353612,0.720379,0.488064,0.457584,0.320755,0.606607,0.090476,0.487179,0.631188,0.664723,0.978378,0.036066,0.417154,0.491905,0.725806,1,0.004124,0.464491,0.715994,0.681382,0.982418,3
0.547325,0.068085,0.293103,0.25,0.413462,0.328671,0.060837,0.429319,0.218274,0.392344,0.373494,0.440559,0.227273,0.313869,0.167568,0.42515,0.201878,0.398734,0.066667,0.072072,0.335832,0.365789,0.514943,0.44898,0.253425,0.438172,0.508671,0.043307,0.527378,0.479501,0.705078,1,0.043478,0.508772,0.651786,0.719424,0.90991,0.009091,0.579268,0.580556,0.714286,0.973856,0.375912,0.618026,0.360795,0.541547,0.386503,0.391045,0.010417,0.59375,0.490132,0.644295,0.973856,0.043478,0.508772,0.572549,0.543636,0.922481,0.043307,0.527378,0.637555,0.705078,1,0.599562,0.384211,0.320955,0.388102,0.300676,0.388889,0.044444,0.352668,0.452381,0.691057,0.952038,0.043137,0.556291,0.616558,0.792079,1,0.004124,0.606526,0.612855,0.59501,0.852747,0.403981,0.25731,0.388759,0,0.473684,0.327189,0.195426,0.326403,0.641822,0.791967,0.906,0.054957,0.15194,0.374735,0.75523,0.965,0.028846,0.260692,0.561462,0.597166,1,0.484791,0.703791,0.320955,0.442159,0.251572,0.414414,0.066667,0.421245,0.517327,0.653061,0.891892,0.036066,0.409357,0.5467,0.741935,1,0.004124,0.606526,0.612855,0.59501,0.852747,3
0.592593,0.034043,0.413793,0.382979,0.384615,0.27972,0.091255,0.209424,0.243655,0.382775,0.481928,0.223776,0.155844,0.116788,0.216216,0.239521,0.262911,0.455696,0,0.648649,0.14093,0.371053,0.606897,0.306122,0.544521,0.204301,0.595376,0.027559,0.184438,0.566845,0.849609,1,0.068323,0.601504,0.415179,0.659472,0.891892,0.245455,0.435976,0.752778,0.690027,0.947712,0.459854,0.549356,0.389205,0.616046,0.233129,0.537313,0.239583,0.496875,0.694079,0.667785,0.947712,0.068323,0.601504,0.364706,0.447273,0.906977,0.027559,0.322767,0.694323,0.849609,1,0.599562,0.265789,0.554377,0.382436,0.746622,0.322222,0.019048,0.593968,0.454545,0.623984,1,0.058824,0.165563,0.551198,0.653465,0.907514,0.078351,0.458733,0.735426,0.888676,0.982418,0.290398,0.385965,0.400468,0,0.488722,0.299539,0.108108,0.307692,0.372671,0.76622,0.976,0.189655,0.25,0.535032,0.887029,0.92,0.067308,0.228106,0.571429,0.489879,1,0.448669,0.542654,0.554377,0.439589,0.480084,0.459459,0.028571,0.655678,0.519802,0.521866,1,0.04918,0.208577,0.500623,0.625806,0.931915,0.078351,0.458733,0.735426,0.888676,0.982418,2
0.176955,0.723404,0.12069,0.111702,0.413462,0.520979,0,0.225131,0.431472,0,0.253012,0.447552,0.279221,0.620438,0.691892,0.257485,0,0.132911,0.35,0,0.023988,0.697368,0.232184,0.438776,0.208904,0.653226,0.219653,0.07874,0.207493,0.488414,0.757812,0.874251,0.456522,0.398496,0.263393,0.46283,0.040541,0.186364,0.47561,0.6,0.865229,1,0.339416,0.405579,0.673295,0.266476,0.570552,0.364179,0.213542,0.4625,0.513158,0.832215,1,0.456522,0.398496,0.231373,0.341818,0.174419,0.07874,0.207493,0.598253,0.757812,0.874251,0.299781,0.528947,0.644562,0.189802,0.314189,0.583333,0.466667,0.36891,0.487013,0.550813,0.438849,0.247059,0.807947,0.601307,0.601485,1,0.039175,0.170825,0.375187,0.859885,0.905495,0.149883,0,0.850117,0,0.323308,0,0.442827,0.442827,0.484472,0.503605,0.532,0,0,0,0,0,0.192308,0.319756,0.639535,0.647773,1,0.532319,0.35782,0.644562,0.329049,0.469602,0.327327,0.295238,0.593407,0.715347,0.600583,1,0.137705,0.649123,0.501868,0.403226,0.910638,0.039175,0.170825,0.375187,0.859885,0.905495,5
0.197531,0.808511,0.275862,0,0,1,0,0.125654,0.360406,0,0,0.335664,0.311688,0.175182,0.12973,0.42515,0.112676,0.151899,0.4,0.432432,0.016492,0.197368,0.8,0.244898,0.441781,0.099462,0.765896,0.090551,0.181556,0.078431,0,0.856287,0.142857,0.45614,0.832589,0.760192,1,0.313636,0.625,0.433333,0.3531,0.686275,0.306569,0.832618,0.133523,0.739255,0.01227,0.492537,0.359375,0.690625,0.315789,0.194631,0.686275,0.142857,0.45614,0.731373,0.610909,1,0.090551,0.181556,0.09607,0,0.856287,0.78337,0.342105,0.297082,0.594901,0.368243,0.258333,0.295238,0.422274,0.807359,0.855691,1,0.184314,0.476821,0.37037,0.462871,0.722543,0.045361,0.013436,0.254111,0.220729,0.371429,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221154,0.370672,0.551495,0.591093,1,1,0.085308,0.297082,0.089974,0.383648,0.147147,0.219048,0.443223,0.863861,0.784257,1,0.855738,0.454191,0.307597,0.053226,0.391489,0.045361,0.013436,0.254111,0.220729,0.371429,5
