@relation proteina_completatreinamento-weka.filters.unsupervised.attribute.Normalize-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N10-F1

@attribute A numeric
@attribute B numeric
@attribute C numeric
@attribute D numeric
@attribute E numeric
@attribute F numeric
@attribute G numeric
@attribute H numeric
@attribute I numeric
@attribute J numeric
@attribute L numeric
@attribute M numeric
@attribute N numeric
@attribute O numeric
@attribute P numeric
@attribute Q numeric
@attribute R numeric
@attribute S numeric
@attribute T numeric
@attribute U numeric
@attribute V numeric
@attribute X numeric
@attribute Z numeric
@attribute A1 numeric
@attribute B1 numeric
@attribute C1 numeric
@attribute D1 numeric
@attribute E1 numeric
@attribute F1 numeric
@attribute G1 numeric
@attribute H1 numeric
@attribute I1 numeric
@attribute J1 numeric
@attribute L1 numeric
@attribute M1 numeric
@attribute N1 numeric
@attribute O1 numeric
@attribute P1 numeric
@attribute Q1 numeric
@attribute R1 numeric
@attribute S1 numeric
@attribute T1 numeric
@attribute U1 numeric
@attribute V1 numeric
@attribute X1 numeric
@attribute Z1 numeric
@attribute A2 numeric
@attribute B2 numeric
@attribute C2 numeric
@attribute D2 numeric
@attribute E2 numeric
@attribute F2 numeric
@attribute G2 numeric
@attribute H2 numeric
@attribute I2 numeric
@attribute J2 numeric
@attribute L2 numeric
@attribute M2 numeric
@attribute N2 numeric
@attribute O2 numeric
@attribute P2 numeric
@attribute Q2 numeric
@attribute R2 numeric
@attribute S2 numeric
@attribute T2 numeric
@attribute U2 numeric
@attribute V2 numeric
@attribute X2 numeric
@attribute Z2 numeric
@attribute A3 numeric
@attribute B3 numeric
@attribute C3 numeric
@attribute D3 numeric
@attribute E3 numeric
@attribute F3 numeric
@attribute G3 numeric
@attribute H3 numeric
@attribute I3 numeric
@attribute J3 numeric
@attribute L3 numeric
@attribute M3 numeric
@attribute N3 numeric
@attribute O3 numeric
@attribute P3 numeric
@attribute Q3 numeric
@attribute R3 numeric
@attribute S3 numeric
@attribute T3 numeric
@attribute U3 numeric
@attribute V3 numeric
@attribute X3 numeric
@attribute Z3 numeric
@attribute A4 numeric
@attribute B4 numeric
@attribute C4 numeric
@attribute D4 numeric
@attribute E4 numeric
@attribute F4 numeric
@attribute G4 numeric
@attribute H4 numeric
@attribute I4 numeric
@attribute J4 numeric
@attribute L4 numeric
@attribute M4 numeric
@attribute N4 numeric
@attribute O4 numeric
@attribute P4 numeric
@attribute Q4 numeric
@attribute R4 numeric
@attribute S4 numeric
@attribute T4 numeric
@attribute U4 numeric
@attribute V4 numeric
@attribute X4 numeric
@attribute Z4 numeric
@attribute A5 numeric
@attribute B5 numeric
@attribute C5 numeric
@attribute D5 numeric
@attribute E5 numeric
@attribute F5 numeric
@attribute G5 numeric
@attribute H5 numeric
@attribute I5 numeric
@attribute J5 numeric
@attribute L5 numeric
@attribute class {alfa,AmaisB,AsobreB,beta,small}

@data
0.423868,0.055319,0.074713,0.547872,0.490385,0.178322,0,0.136126,0.522843,0.430622,0.614458,0.265734,0.168831,0.467153,0.275676,0.461078,0.239437,0.487342,0,0.117117,0.070465,0.613158,0.333333,0.401361,0.445205,0.5,0.381503,0.098425,0.391931,0.431373,0.429688,0.538922,0.111801,0.691729,0.763393,0.808153,1,0.05,0.530488,0.702778,0.862534,0.751634,0.346715,0.472103,0.582386,0.352436,0.395706,0.570149,0.057292,0.51875,0.634868,0.828859,0.751634,0.111801,0.691729,0.670588,0.603636,1,0.098425,0.391931,0.528384,0.429688,0.538922,0.387309,0.544737,0.567639,0.359773,0.533784,0.425,0.114286,0.401392,0.545455,0.642276,1,0.34902,0.456954,0.494553,0.844059,0.849711,0.02268,0.31094,0.626308,0.610365,0.69011,0.765808,0,0.234192,0,0.781955,0,0.053015,0.199584,0.410973,0.660144,0.859,0,0,0,0,0,0.115385,0.564155,0.848837,0.939271,1,0.275665,0.744076,0.567639,0.349614,0.358491,0.507508,0.171429,0.787546,0.846535,0.772595,1,0.291803,0.393762,0.435866,0.51129,0.838298,0.02268,0.31094,0.626308,0.610365,0.69011,alfa
0.234568,0.038298,0.431034,0.148936,0.903846,0.199301,0.106464,0.34555,0.380711,0.497608,0.228916,0.524476,0.246753,0.416058,0.356757,0.341317,0.131455,0.177215,0.316667,0.171171,0.112444,0.626316,0.245977,0.510204,0.308219,0.502688,0.32948,0.366142,0.680115,0.561497,0.832031,1,0.021739,0.345865,0.558036,0.539568,0.617117,0.163636,0.515244,0.5,0.668464,0.816993,0.481752,0.317597,0.678977,0.34957,0.484663,0.364179,0.1875,0.503125,0.457237,0.42953,0.816993,0.021739,0.132832,0.286275,0.4,0.670543,0.366142,0.680115,0.687773,0.832031,1,0.341357,0.360526,0.70557,0.155807,0.452703,0.527778,0.022222,0.296984,0.17316,0.589431,0.88729,0.145098,0.390728,0.433551,0.564356,0.780347,0.131959,0.564299,0.801196,0.882917,1,0.398126,0.192982,0.447307,0.285714,0.360902,0.221198,0.039501,0.117464,0.400621,0.543769,0.613,0.233836,0.25431,0.340764,0.671548,0.679,0.076923,0.501018,0.943522,0.854251,1,0.252852,0.651659,0.70557,0.254499,0.341719,0.630631,0.033333,0.245421,0.361386,0.527697,0.745946,0.121311,0.512671,0.457036,0.58871,0.880851,0.131959,0.564299,0.801196,0.882917,1,alfa
0.185185,0,0.195402,0.425532,0.769231,0.118881,0.171103,0.120419,0.406091,0.162679,0.277108,0.636364,0.220779,0.248175,0.367568,0.682635,0.051643,0.64557,0.75,0.207207,0.085457,0.65,0.301149,0.397959,0.356164,0.483871,0.277457,0.086614,0.461095,0.586453,0.855469,0.862275,0.02795,0.573935,0.645089,0.676259,1,0.25,0.277439,0.472222,0.431267,0.555556,0.379562,0.324034,0.752841,0.191977,0.518405,0.423881,0.286458,0.54375,0.401316,0.291946,0.555556,0.02795,0.403509,0.233333,0.318182,1,0.086614,0.492795,0.792576,0.855469,0.934132,0.26477,0.452632,0.819629,0.053824,0.456081,0.652778,0.028571,0.37355,0.257576,0.825203,1,0.129412,0.324503,0.503268,0.5,0.803468,0.043299,0.426104,0.713004,0.725528,0.975824,0.399297,0.19883,0.441452,0,0.518797,0.317972,0.046778,0.118503,0.458592,0.643666,0.716,0.367457,0.392241,0.796178,0.962343,0.955,0.096154,0.395112,0.589701,0.730769,1,0.161597,0.665877,0.819629,0.097686,0.331237,0.792793,0.042857,0.3663,0.405941,0.810496,1,0.219672,0.430799,0.473225,0.595161,0.855319,0.043299,0.426104,0.713004,0.725528,0.975824,alfa
0.26749,0.093617,0.683908,0.287234,0.567308,0.206294,0.019011,0.198953,0.411168,0.38756,0.457831,0.412587,0.175325,0.357664,0.172973,0.293413,0.201878,0.341772,0.366667,0.387387,0.230885,0.673684,0.266667,0.421769,0.431507,0.623656,0.378613,0.059055,0.414986,0.358289,0.654297,0.97006,0.009317,0.636591,0.723214,0.904077,1,0.040909,0.503049,0.683333,0.592992,0.856209,0.478102,0.332618,0.661932,0.361032,0.705521,0.364179,0.046875,0.575,0.664474,0.583893,0.856209,0.009317,0.679198,0.62549,0.665455,1,0.059055,0.351585,0.438865,0.654297,0.97006,0.474836,0.376316,0.599469,0.359773,0.462838,0.583333,0.009524,0.515081,0.560606,0.747967,0.961631,0.039216,0.665563,0.72549,0.69802,1,0.051546,0.330134,0.536622,0.65643,0.989011,0.696721,0.046784,0.265808,0.314286,0.571429,0.050691,0.022869,0.219335,0.453416,0.701339,0.919,0.145474,0.145474,0.154989,0.429916,0.422,0.038462,0.678208,0.789037,0.781377,1,0.372624,0.597156,0.599469,0.329049,0.356394,0.651652,0.014286,0.630037,0.722772,0.731778,1,0.032787,0.42885,0.559153,0.662903,0.953191,0.051546,0.330134,0.536622,0.65643,0.989011,alfa
0.374486,0.046809,0.218391,0.287234,0.211538,0.167832,0.144487,0.225131,0.218274,0.435407,0.192771,0.300699,0.487013,0.277372,0.351351,0.227545,0.58216,0.443038,0.083333,0.432432,0.232384,0.371053,0.657471,0.231293,0.558219,0.314516,0.390173,0.122047,0.426513,0.468806,0.792969,0.868263,0.009317,0.686717,0.727679,0.71223,1,0.259091,0.646341,0.436111,0.671159,0.928105,0.291971,0.618026,0.426136,0.467049,0.285276,0.573134,0.296875,0.653125,0.424342,0.590604,0.928105,0.009317,0.498747,0.588235,0.510909,1,0.122047,0.426513,0.574236,0.792969,0.868263,0.483589,0.471053,0.482759,0.507082,0.351351,0.4,0.009524,0.299304,0.497835,0.597561,0.98801,0.121569,0.44702,0.553377,0.594059,1,0.195876,0.575816,0.77429,0.917466,0.951648,0.264637,0.258772,0.528103,0.314286,0.323308,0.35023,0.183992,0.362786,0.829193,0.880536,0.984,0.070043,0.144397,0.388535,0.65272,0.925,0.038462,0.378819,0.551495,0.522267,1,0.45057,0.606635,0.482759,0.506427,0.274633,0.471471,0.014286,0.388278,0.688119,0.591837,1,0.101639,0.415205,0.414695,0.612903,0.953191,0.195876,0.575816,0.77429,0.917466,0.951648,beta
0.242798,0.06383,0.195402,0.260638,0.471154,0.255245,0.148289,0.151832,0.172589,0.349282,0.240964,0.377622,0.350649,0.284672,0.210811,0.323353,0.525822,0.740506,0.25,0.396396,0.26087,0.289474,0.593103,0.431973,0.445205,0.284946,0.560694,0.090551,0.541787,0.541889,0.769531,1,0.040373,0.323308,0.430804,0.664269,0.954955,0.013636,0.746951,0.733333,0.657682,0.869281,0.492701,0.564378,0.34375,0.575931,0.328221,0.510448,0.015625,0.740625,0.671053,0.604027,0.869281,0.040373,0.310777,0.368627,0.494545,0.96124,0.090551,0.570605,0.663755,0.769531,1,0.468271,0.518421,0.488064,0.487252,0.422297,0.533333,0.04127,0.243619,0.322511,0.587398,0.976019,0.035294,0.708609,0.721133,0.779703,1,0.045361,0.472169,0.569507,0.702495,0.989011,0.137002,0.406433,0.537471,0,0.150376,0.497696,0.202703,0.22869,0.257764,0.61277,0.624,0.094828,0.420259,0.570064,0.857741,0.966,0.038462,0.224033,0.466777,0.607287,1,0.403042,0.658768,0.488064,0.457584,0.343816,0.543544,0.061905,0.249084,0.45297,0.527697,0.945946,0.013115,0.580897,0.597758,0.735484,1,0.045361,0.472169,0.569507,0.702495,0.989011,beta
0.26749,0.068085,0.465517,0.212766,0.307692,0.227273,0.060837,0.382199,0.329949,0.229665,0.289157,0.566434,0.474026,0.233577,0.394595,0.191617,0.380282,0.35443,0.4,0.216216,0.13943,0.610526,0.411494,0.285714,0.496575,0.47043,0.343931,0.185039,0.605187,0.7041,0.876953,0.952096,0.018634,0.426065,0.332589,0.460432,0.927928,0.063636,0.786585,0.719444,0.619946,1,0.262774,0.487124,0.625,0.412607,0.484663,0.540299,0.072917,0.578125,0.496711,0.526846,1,0.018634,0.323308,0.386275,0.34,0.844961,0.185039,0.536023,0.720524,0.876953,0.952096,0.448578,0.378947,0.538462,0.504249,0.368243,0.461111,0.019048,0.524362,0.532468,0.601626,0.748201,0.058824,0.142384,0.6122,0.668317,1,0.228866,0.431862,0.657698,0.902111,0.964835,0.169789,0.295322,0.593677,0,0.24812,0.373272,0.536383,0.561331,0.817805,0.84758,0.863,0.113147,0.234914,0.342887,0.429916,0.742,0.067308,0.297352,0.511628,0.615385,1,0.423954,0.587678,0.538462,0.403599,0.194969,0.684685,0.028571,0.336996,0.569307,0.396501,0.783784,0.04918,0.430799,0.555417,0.648387,1,0.228866,0.431862,0.657698,0.902111,0.964835,beta
0.251029,0.110638,0.201149,0.234043,0.846154,0.213287,0.034221,0.04712,0.177665,0.631579,0.108434,0.307692,0.396104,0.321168,0.32973,0.682635,0.286385,0.335443,0.3,0.315315,0.124438,0.326316,0.524138,0.486395,0.414384,0.263441,0.598266,0.066929,0.319885,0.529412,0.537109,0.209581,0.021739,0.62406,0.620536,0.82494,1,0.109091,0.469512,0.508333,0.884097,0.882353,0.518248,0.583691,0.298295,0.515759,0.153374,0.570149,0.125,0.48125,0.723684,0.855705,0.882353,0.021739,0.601504,0.372549,0.394545,1,0.066929,0.319885,0.648472,0.587891,0.580838,0.47046,0.528947,0.527851,0.524079,0.324324,0.486111,0.022222,0.556845,0.640693,0.565041,1,0.066667,0.248344,0.424837,0.527228,0.947977,0.049485,0.591171,0.789238,0.838772,0.942857,0.133489,0.269006,0.651054,0.257143,0.203008,0.368664,0.14553,0.164241,0.190476,0.433574,0.456,0.227371,0.321121,0.716561,0.844142,0.974,0.076923,0.458248,0.609635,0.6417,1,0.442966,0.57346,0.527851,0.465296,0.274633,0.504505,0.033333,0.655678,0.601485,0.539359,1,0.055738,0.2846,0.439601,0.595161,0.923404,0.049485,0.591171,0.789238,0.838772,0.942857,beta
0.279835,0.208511,0.614943,0.62234,0.375,0.171329,0.072243,0.151832,0.395939,0.23445,0.349398,0.202797,0.318182,0.072993,0.102703,0.293413,0.319249,0.613924,0.166667,0.351351,0.107946,0.578947,0.377011,0.377551,0.695205,0.467742,0.346821,0.110236,0.622478,0.484848,0.535156,0.886228,0.052795,0.503759,0.654018,0.817746,0.954955,0.036364,0.448171,0.427778,0.619946,1,0.416058,0.416309,0.602273,0.421203,0.509202,0.701493,0.041667,0.434375,0.309211,0.526846,1,0.052795,0.528822,0.57451,0.629091,0.96124,0.110236,0.481268,0.593886,0.535156,0.886228,0.485777,0.513158,0.472149,0.586402,0.405405,0.327778,0.053968,0.510441,0.800866,0.768293,0.976019,0.035294,0.347682,0.544662,0.589109,0.890173,0.096907,0.228407,0.508221,0.332054,1,0.147541,0.283626,0.625293,0.285714,0.218045,0.317972,0.161123,0.181913,0.934783,0.959835,0.971,0.135776,0.439655,0.577495,0.690377,0.709,0.086538,0.380855,0.478405,0.611336,1,0.473384,0.585308,0.472149,0.496144,0.39413,0.234234,0.080952,0.619048,0.868812,0.699708,0.945946,0.029508,0.360624,0.581569,0.620968,0.919149,0.096907,0.228407,0.508221,0.332054,1,beta
0.168724,0.051064,0.436782,0.18617,0.336538,0.265734,0.068441,0.303665,0.416244,0.277512,0.144578,0.447552,0.532468,0.29927,0.254054,0.45509,0.2723,0.556962,0.1,0.315315,0.209895,0.542105,0.482759,0.268707,0.736301,0.325269,0.306358,0.019685,0.478386,0.467023,0.673828,0.964072,0.049689,0.491228,0.613839,0.70024,1,0.095455,0.628049,0.719444,0.781671,0.882353,0.284672,0.525751,0.556818,0.386819,0.306748,0.701493,0.109375,0.61875,0.654605,0.728188,0.882353,0.049689,0.491228,0.505882,0.489091,0.817829,0.019685,0.512968,0.648472,0.685547,1,0.45733,0.465789,0.474801,0.280453,0.351351,0.425,0.012698,0.331787,0.329004,0.611789,0.872902,0.066667,0.423841,0.633987,0.707921,0.83237,0.05567,0.573896,0.736921,0.800384,1,0.096019,0.461988,0.533958,0.171429,0.135338,0.571429,0.431393,0.443867,0.465839,0.6138,0.62,0.119612,0.289871,0.583864,0.868201,0.977,0.048077,0.303462,0.392027,0.576923,1,0.442966,0.620853,0.474801,0.365039,0.291405,0.441441,0.019048,0.410256,0.65099,0.623907,0.745946,0.072131,0.376218,0.4533,0.609677,0.876596,0.05567,0.573896,0.736921,0.800384,1,beta
